yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK
201604,-18.36%,3.90%,33.86%,-17.48%,-4.66%
201605,-6.71%,-22.32%,-14.99%,-14.45%,-13.99%
201606,16.72%,22.60%,15.62%,36.63%,7.37%
201607,-1.91%,-16.43%,16.11%,-11.58%,1.31%
201608,-10.31%,-14.92%,-6.90%,-10.87%,-12.09%
201609,-4.86%,-14.51%,-21.60%,2.32%,-5.79%
201610,5.76%,8.13%,2.90%,-15.01%,-15.11%
201611,23.23%,47.21%,5.60%,-22.43%,-14.86%
201612,-12.54%,-8.75%,-7.27%,-12.60%,2.64%
201701,-21.50%,-15.80%,-20.23%,-18.80%,-15.97%
201702,-9.78%,-31.81%,-6.72%,-27.39%,7.66%
201703,-16.82%,-15.66%,-6.04%,-13.65%,-19.80%
201704,-4.68%,-4.59%,-10.80%,-12.64%,-20.64%
201705,-10.77%,9.58%,-9.04%,-14.00%,-5.51%
201706,-9.15%,-6.48%,0.17%,9.79%,-12.04%
201707,-15.48%,12.24%,-5.40%,-26.14%,-27.01%
201708,-2.01%,-19.78%,6.04%,-24.08%,-30.44%
201709,-11.57%,3.29%,-13.89%,3.43%,-18.48%
201710,-15.54%,-2.39%,-5.92%,-15.42%,1.98%
201711,-8.06%,-26.78%,-12.22%,-22.50%,6.70%
201712,-11.31%,-11.90%,0.84%,-7.32%,-1.92%
201801,20.99%,51.27%,0.45%,-12.39%,19.71%
201802,-9.21%,-8.44%,3.92%,50.13%,20.19%
201803,-0.55%,-10.84%,-8.95%,8.49%,-1.02%
201804,-21.93%,14.05%,-2.97%,-23.58%,-12.05%
201805,27.01%,29.08%,-15.24%,-7.48%,-6.62%
201806,-14.38%,-8.83%,30.65%,-9.55%,-0.09%
201807,-19.83%,-17.93%,-3.51%,-17.95%,-16.12%
201808,4.25%,11.79%,1.17%,-8.96%,-0.44%
201809,-5.65%,-3.27%,-4.85%,-17.28%,-13.53%
201810,-2.51%,6.58%,-5.42%,0.15%,45.00%
201811,-15.53%,-15.93%,6.62%,-16.29%,-9.16%
201812,26.17%,-1.70%,-2.78%,1.23%,18.84%
201901,8.27%,-20.60%,-19.34%,-22.76%,-16.29%
201902,-1.79%,-12.24%,-5.93%,-5.90%,16.53%
201903,34.03%,-4.00%,2.74%,9.91%,-4.67%
201904,-22.60%,-16.96%,9.69%,0.28%,-1.59%
201905,42.50%,6.48%,38.81%,12.34%,-5.79%
201906,7.37%,-5.29%,8.97%,20.81%,3.49%
201907,4.60%,1.64%,-7.13%,-18.47%,3.36%
201908,60.88%,1.04%,11.54%,-9.05%,-15.97%
201909,-13.65%,-12.81%,-1.89%,0.13%,-11.54%
201910,-4.96%,-20.11%,-15.90%,-12.21%,-22.99%
201911,-5.16%,-8.65%,-1.91%,-17.23%,6.74%
201912,10.72%,3.00%,4.26%,-26.18%,3.70%
202001,5.80%,-18.87%,-7.14%,-2.42%,4.54%
202002,31.98%,37.20%,22.19%,64.39%,83.49%
202003,104.70%,99.84%,75.42%,38.36%,88.50%
202004,-11.38%,-15.36%,3.73%,11.83%,-13.83%
202005,-13.38%,-3.46%,-3.86%,0.25%,-2.98%
202006,3.55%,4.00%,-9.36%,-18.76%,-1.35%
